"","Location","Year","Iso_Code","Population","GDP","Cases","Deaths","Cases_per_Million","Deaths_per_Million","Hosp_Patients_per_Million","Hospital_Beds_per_Thousand","Icu_Patients_per_Million"
"1","Austria","2020","AUT",9043072,45436.686,350635,6094,38773.875,673.89,27062.376,2026.75,5465.17
"2","Austria","2021","AUT",9043072,45436.686,414967,4945,45887.836,546.838,26479.27,2137.3,8001.268
"3","Belgium","2020","BEL",11632334,42658.576,645807,19524,55518.266,1678.436,54807.144,1646.88,11476.373
"4","Belgium","2021","BEL",11632334,42658.576,633373,6219,54449.342,534.647,34585.145,1635.6,9309.918
"5","Bulgaria","2020","BGR",6896655,18563.307,201735,7556,29251.157,1095.62,70031.464,2012.58,5106.698
"6","Bulgaria","2021","BGR",6896655,18563.307,338353,14698,49060.461,2131.209,181195.369,2161.66,16103.295
"7","Canada","2020","CAN",38067913,44017.591,587355,15762,15429.127,414.048,10763.36,745,2160.91
"8","Canada","2021","CAN",38067913,44017.591,1113925,12960,29261.514,340.443,18049.038,735,5563.483
"9","Cyprus","2020","CYP",896005,32415.132,22230,120,24810.113,133.92,10390.546,958.8,1600.429
"10","Cyprus","2021","CYP",896005,32415.132,99649,443,111214.776,494.388,49791.021,986,8328.068
"11","Czechia","2020","CZE",10724553,32605.906,717666,11580,66918.021,1079.746,46729.507,1889.55,7001.88
"12","Czechia","2021","CZE",10724553,32605.906,990264,18965,92336.16,1768.352,79688.458,1922.7,15635.712
"13","Denmark","2020","DNK",5813302,46682.515,160826,1194,27665.177,205.372,8051.523,685,1466.1
"14","Denmark","2021","DNK",5813302,46682.515,206539,1389,35528.692,238.928,10938.878,725,1996.634
"15","Estonia","2020","EST",1325188,29481.252,27621,229,20843.082,172.816,16341.814,1322.58,1660.148
"16","Estonia","2021","EST",1325188,29481.252,144524,1197,109059.246,903.267,64138.068,1360.1,6682.814
"17","Finland","2020","FIN",5548361,40585.721,20864,552,3760.392,99.472,3387.482,580.56,764.004
"18","Finland","2021","FIN",5548361,40585.721,94110,549,16961.765,98.937,5184.058,728.16,995.256
"19","France","2020","FRA",67564251,38605.671,2671070,64609,39533.775,956.256,67680.621,1752.14,9536.848
"20","France","2021","FRA",67564251,38605.671,4860746,53292,71942.568,788.757,77095.582,1728.22,12396.554
"21","Ireland","2020","IRL",4982904,67335.293,89915,2218,18044.691,445.118,13847.755,825.84,2185.063
"22","Ireland","2021","IRL",4982904,67335.293,322079,3065,64636.809,615.099,24479.101,849.52,4130.123
"23","Israel","2020","ISR",8789776,33132.32,329852,2561,37526.783,291.36,16984.391,409.63,2621.34
"24","Israel","2021","ISR",8789776,33132.32,897700,4711,102130.016,535.97,28457.044,879.06,5683.759
"25","Italy","2020","ITA",60367471,35220.084,2107011,74156,34903.089,1228.409,68392.181,992.16,6768.877
"26","Italy","2021","ITA",60367471,35220.084,2610733,57382,43247.349,950.557,65969.196,922.2,7358.847
"27","Luxembourg","2020","LUX",634814,94277.965,46356,494,73022.966,778.183,41654.723,1312.41,7006.783
"28","Luxembourg","2021","LUX",634814,94277.965,33213,343,52319.255,540.32,26132.064,1294.37,6488.52
"29","Malta","2020","MLT",514564,36513.323,12409,219,24115.558,425.597,11693.395,1166.1,2644.951
"30","Malta","2021","MLT",514564,36513.323,24580,238,47768.591,462.515,22584.173,1278.225,4516.435
"31","Netherlands","2020","NLD",17173094,48472.545,808300,11525,47067.816,671.089,16884.434,999.32,6364.902
"32","Netherlands","2021","NLD",17173094,48472.545,1277357,7152,74381.293,416.471,16790.218,956.16,7257.986
"33","Portugal","2020","PRT",10167923,27936.896,413347,6906,40652.06,679.197,32296.365,983.1,5057.367
"34","Portugal","2021","PRT",10167923,27936.896,666128,11191,65512.681,1100.606,40514.275,983.1,6936.613
"35","Serbia","2020","SRB",6908224,14048.881,336583,3181,48722.079,460.496,107873.891,1536.866,3958.322
"36","Serbia","2021","SRB",6908224,14048.881,740109,6120,107134.483,885.906,148056.435,1649.046,5698.287
"37","Slovenia","2020","SVN",2078723,31400.84,122011,2697,58695.166,1297.424,43846.618,1318.5,7347.283
"38","Slovenia","2021","SVN",2078723,31400.84,185984,1941,89470.326,933.718,61229.43,1305,12836.248
"39","Spain","2020","ESP",46745211,34272.36,1539717,21646,32938.502,463.063,25062.501,276.21,3788.455
"40","Spain","2021","ESP",46745211,34272.36,3048660,35693,65218.659,763.561,40995.962,596.97,8356.389
"41","Sweden","2020","SWE",10160159,46949.283,437053,8727,43016.355,858.939,31670.27,659.34,5331.3
"42","Sweden","2021","SWE",10160159,46949.283,724554,6229,71313.26,613.079,30347.851,643.8,5174.822
"43","Switzerland","2020","CHE",8715494,57410.166,437467,7497,50194.179,860.194,30846.683,1254.81,5631.692
"44","Switzerland","2021","CHE",8715494,57410.166,408827,3305,46908.072,379.195,26919.292,1331.82,6129.087
"45","United Kingdom","2020","GBR",68207114,39753.244,2452446,70492,35955.866,1033.502,35753.908,695.96,3664.49
"46","United Kingdom","2021","GBR",68207114,39753.244,6133841,65822,89929.639,965.031,40385.856,744.22,4843.594
"47","United States","2020","USA",332915074,54225.446,16714204,214892,50205.603,645.491,28200.246,470.9,7335.375
"48","United States","2021","USA",332915074,54225.446,25147563,381459,75537.469,1145.812,48082.087,814.38,12465.915
